epoch,sigma,train_acc,train_loss,val_acc,fpga_val_acc,val_loss,test_acc,test_loss,lr,lr_pos,time_s
18,14.4663,18.03,2.6722,25.41,20.14,2.5668,-1.00,-1.0000,2.09e-03,4.80e-02,75.4
19,14.4062,20.08,2.6125,25.91,21.74,2.5216,-1.00,-1.0000,2.26e-03,4.78e-02,75.1
20,14.3430,21.03,2.5541,28.24,22.32,2.4662,30.72,2.4022,2.43e-03,4.76e-02,75.0
21,14.2767,21.76,2.5257,31.00,26.94,2.4141,-1.00,-1.0000,2.60e-03,4.74e-02,73.8
22,14.2075,23.34,2.4631,33.24,28.24,2.3645,-1.00,-1.0000,2.77e-03,4.72e-02,74.1
23,14.1353,25.54,2.4225,37.60,31.52,2.2988,-1.00,-1.0000,2.94e-03,4.69e-02,75.5
24,14.0601,26.12,2.3588,39.30,33.25,2.2467,-1.00,-1.0000,3.11e-03,4.67e-02,75.3
25,13.9820,27.16,2.3095,41.81,39.07,2.1444,-1.00,-1.0000,3.28e-03,4.64e-02,74.5
26,13.9010,28.51,2.2613,45.80,38.87,2.0818,-1.00,-1.0000,3.44e-03,4.61e-02,75.7
27,13.8172,30.31,2.2077,46.40,36.41,1.9340,-1.00,-1.0000,3.60e-03,4.58e-02,75.6
28,13.7305,30.46,2.1924,49.88,41.75,1.9700,-1.00,-1.0000,3.75e-03,4.55e-02,75.8
29,13.6411,32.69,2.0951,53.05,46.13,1.8617,-1.00,-1.0000,3.90e-03,4.52e-02,75.7
30,13.5490,33.59,2.0691,53.94,46.06,1.8343,49.16,1.8036,4.04e-03,4.49e-02,74.5
31,13.4542,34.69,2.0321,51.30,50.56,1.7728,-1.00,-1.0000,4.17e-03,4.46e-02,75.4
32,13.3567,35.06,1.9825,55.29,49.38,1.7153,-1.00,-1.0000,4.30e-03,4.43e-02,76.5
33,13.2566,36.89,1.9383,57.66,50.30,1.6222,-1.00,-1.0000,4.41e-03,4.39e-02,75.2
34,13.1540,37.98,1.9071,56.80,49.08,1.6287,-1.00,-1.0000,4.52e-03,4.36e-02,73.9
35,13.0488,39.33,1.8514,58.98,49.16,1.6013,-1.00,-1.0000,4.62e-03,4.32e-02,75.1
36,12.9412,39.59,1.8317,64.27,54.07,1.4880,-1.00,-1.0000,4.71e-03,4.29e-02,75.8
37,12.8312,40.44,1.8063,66.78,54.44,1.4006,-1.00,-1.0000,4.78e-03,4.25e-02,75.8
38,12.7188,41.51,1.7632,66.20,57.11,1.4145,-1.00,-1.0000,4.85e-03,4.21e-02,75.9
39,12.6041,40.33,1.7882,67.30,55.62,1.4135,-1.00,-1.0000,4.90e-03,4.17e-02,75.4
40,12.4871,41.04,1.7335,68.95,61.12,1.3801,59.60,1.3758,4.95e-03,4.13e-02,74.3
41,12.3679,43.01,1.7215,67.53,55.97,1.3632,-1.00,-1.0000,4.98e-03,4.09e-02,75.2
42,12.2465,42.51,1.6881,66.67,53.78,1.3348,-1.00,-1.0000,4.99e-03,4.05e-02,74.9
43,12.1230,44.15,1.6577,72.34,58.18,1.2647,-1.00,-1.0000,5.00e-03,4.01e-02,74.7
44,11.9975,44.09,1.6519,66.09,57.11,1.2330,-1.00,-1.0000,5.00e-03,3.97e-02,75.3
45,11.8699,45.88,1.6275,69.23,58.88,1.3352,-1.00,-1.0000,5.00e-03,3.93e-02,75.0
46,11.7404,45.24,1.6111,71.78,57.76,1.2454,-1.00,-1.0000,4.99e-03,3.88e-02,75.6
47,11.6091,45.48,1.6119,69.76,60.55,1.2467,-1.00,-1.0000,4.98e-03,3.84e-02,74.6
48,11.4759,46.48,1.5770,72.70,61.17,1.1657,-1.00,-1.0000,4.97e-03,3.80e-02,74.9
49,11.3409,46.83,1.5726,71.79,59.63,1.1835,-1.00,-1.0000,4.96e-03,3.75e-02,74.4
50,11.2043,46.22,1.5847,71.60,58.17,1.1828,64.86,1.2196,4.95e-03,3.70e-02,73.9
51,11.0659,47.22,1.5497,74.15,61.31,1.1217,-1.00,-1.0000,4.93e-03,3.66e-02,74.9
52,10.9260,48.63,1.5125,74.64,60.15,1.1205,-1.00,-1.0000,4.91e-03,3.61e-02,75.2
53,10.7846,49.67,1.5043,70.36,60.91,1.1257,-1.00,-1.0000,4.89e-03,3.56e-02,75.4
54,10.6417,49.16,1.5048,75.37,58.91,1.0703,-1.00,-1.0000,4.87e-03,3.52e-02,74.3
55,10.4975,48.58,1.5030,74.82,61.24,1.0747,-1.00,-1.0000,4.84e-03,3.47e-02,74.6
56,10.3519,50.78,1.4757,75.76,61.91,1.0536,-1.00,-1.0000,4.81e-03,3.42e-02,74.8
57,10.2050,48.71,1.5085,76.15,60.52,1.0469,-1.00,-1.0000,4.78e-03,3.37e-02,75.1
58,10.0569,48.72,1.4840,76.31,61.80,1.0113,-1.00,-1.0000,4.75e-03,3.32e-02,74.5
59,9.9077,49.77,1.4641,77.73,64.61,0.9992,-1.00,-1.0000,4.72e-03,3.27e-02,74.6
60,9.7574,51.24,1.4257,80.03,64.88,1.0001,72.70,1.0605,4.68e-03,3.22e-02,74.9
61,9.6061,50.57,1.4319,78.19,60.79,0.9887,-1.00,-1.0000,4.65e-03,3.17e-02,74.7
62,9.4539,51.63,1.4098,78.68,63.71,0.9749,-1.00,-1.0000,4.61e-03,3.12e-02,75.0
63,9.3008,50.56,1.4231,78.65,60.83,0.9437,-1.00,-1.0000,4.57e-03,3.07e-02,75.0
64,9.1469,51.39,1.4020,79.24,66.71,0.9080,-1.00,-1.0000,4.52e-03,3.02e-02,74.5
65,8.9922,50.78,1.4002,78.33,66.50,0.9058,-1.00,-1.0000,4.48e-03,2.97e-02,74.3
66,8.8370,51.15,1.3965,80.06,66.15,0.9318,-1.00,-1.0000,4.43e-03,2.92e-02,74.2
67,8.6811,52.22,1.3716,79.24,68.07,0.9158,-1.00,-1.0000,4.38e-03,2.87e-02,74.6
68,8.5247,52.89,1.3654,78.79,68.23,0.9181,-1.00,-1.0000,4.33e-03,2.81e-02,74.6
69,8.3678,52.98,1.3478,79.64,66.38,0.8848,-1.00,-1.0000,4.28e-03,2.76e-02,75.4
70,8.2105,52.01,1.3732,79.97,68.64,0.9192,74.70,0.9871,4.23e-03,2.71e-02,75.6
71,8.0530,53.64,1.3521,78.96,70.11,0.9003,-1.00,-1.0000,4.17e-03,2.66e-02,74.8
72,7.8952,53.08,1.3607,80.74,70.10,0.9071,-1.00,-1.0000,4.12e-03,2.60e-02,75.6
73,7.7372,52.63,1.3495,80.83,67.32,0.8868,-1.00,-1.0000,4.06e-03,2.55e-02,75.2
74,7.5791,53.06,1.3440,79.91,69.87,0.8528,-1.00,-1.0000,4.00e-03,2.50e-02,74.6
75,7.4209,54.31,1.3200,81.51,67.23,0.8340,-1.00,-1.0000,3.94e-03,2.45e-02,75.3
76,7.2628,54.26,1.3110,81.23,65.89,0.8344,-1.00,-1.0000,3.88e-03,2.40e-02,76.2
77,7.1048,54.51,1.3196,80.41,66.28,0.8883,-1.00,-1.0000,3.81e-03,2.34e-02,75.4
78,6.9470,54.98,1.2895,81.26,67.99,0.8500,-1.00,-1.0000,3.75e-03,2.29e-02,74.7
79,6.7895,54.98,1.2982,81.81,67.86,0.8579,-1.00,-1.0000,3.68e-03,2.24e-02,75.1
80,6.6322,55.28,1.2909,82.63,69.30,0.8137,76.06,0.9332,3.62e-03,2.19e-02,75.7
81,6.4753,55.37,1.2889,81.20,69.09,0.8481,-1.00,-1.0000,3.55e-03,2.13e-02,74.9
82,6.3189,55.25,1.2689,80.35,70.46,0.8362,-1.00,-1.0000,3.48e-03,2.08e-02,74.7
83,6.1630,54.12,1.2844,81.51,73.19,0.8159,-1.00,-1.0000,3.41e-03,2.03e-02,74.2
84,6.0078,54.69,1.2809,81.89,71.04,0.8585,-1.00,-1.0000,3.34e-03,1.98e-02,75.3
85,5.8531,55.28,1.2989,82.04,70.12,0.8282,-1.00,-1.0000,3.27e-03,1.93e-02,75.0
86,5.6992,55.25,1.2546,80.90,71.82,0.8388,-1.00,-1.0000,3.20e-03,1.88e-02,75.6
87,5.5461,55.69,1.2747,82.69,73.08,0.8197,-1.00,-1.0000,3.13e-03,1.83e-02,74.8
88,5.3939,55.35,1.2625,83.25,72.75,0.8075,-1.00,-1.0000,3.06e-03,1.78e-02,74.3
89,5.2426,55.25,1.2551,81.94,73.42,0.8078,-1.00,-1.0000,2.98e-03,1.73e-02,74.5
90,5.0923,56.16,1.2420,82.35,71.94,0.7988,74.42,0.9431,2.91e-03,1.68e-02,75.1
91,4.9431,56.66,1.2459,82.09,73.85,0.8435,-1.00,-1.0000,2.84e-03,1.63e-02,74.7
92,4.7950,55.22,1.2462,82.35,74.60,0.8151,-1.00,-1.0000,2.76e-03,1.58e-02,74.4
93,4.6481,56.37,1.2466,83.25,76.03,0.7791,-1.00,-1.0000,2.69e-03,1.53e-02,75.2
94,4.5025,55.95,1.2385,82.13,74.43,0.7872,-1.00,-1.0000,2.61e-03,1.48e-02,75.2
95,4.3583,56.84,1.2217,82.72,74.94,0.7868,-1.00,-1.0000,2.54e-03,1.44e-02,75.2
96,4.2154,56.18,1.2459,83.82,75.46,0.7764,-1.00,-1.0000,2.46e-03,1.39e-02,75.6
97,4.0740,56.04,1.2394,85.52,75.59,0.8017,-1.00,-1.0000,2.39e-03,1.34e-02,75.0
98,3.9341,56.91,1.2324,82.97,75.18,0.7801,-1.00,-1.0000,2.31e-03,1.30e-02,75.2
99,3.7957,56.17,1.2409,81.81,74.68,0.7990,-1.00,-1.0000,2.24e-03,1.25e-02,75.0
100,3.6591,56.21,1.2516,83.13,77.62,0.7791,76.63,0.8779,2.16e-03,1.20e-02,75.8
101,3.5241,57.99,1.2031,83.04,75.52,0.7895,-1.00,-1.0000,2.09e-03,1.16e-02,75.0
102,3.3909,57.50,1.2042,83.83,77.32,0.7660,-1.00,-1.0000,2.02e-03,1.12e-02,75.0
103,3.2596,56.81,1.1982,84.29,77.03,0.7762,-1.00,-1.0000,1.94e-03,1.07e-02,74.9
104,3.1301,57.50,1.1987,84.47,77.34,0.7715,-1.00,-1.0000,1.87e-03,1.03e-02,76.2
105,3.0025,56.45,1.2393,84.16,77.52,0.7804,-1.00,-1.0000,1.80e-03,9.89e-03,75.0
106,2.8770,56.95,1.2014,84.87,75.95,0.7667,-1.00,-1.0000,1.73e-03,9.47e-03,75.9
107,2.7535,58.05,1.1843,84.31,78.65,0.7737,-1.00,-1.0000,1.66e-03,9.06e-03,75.7
108,2.6321,57.49,1.1898,84.78,79.52,0.7746,-1.00,-1.0000,1.59e-03,8.66e-03,75.7
109,2.5129,57.68,1.2092,84.27,79.04,0.7817,-1.00,-1.0000,1.52e-03,8.27e-03,74.8
110,2.3959,57.55,1.2087,85.26,79.03,0.7837,77.36,0.8776,1.45e-03,7.89e-03,75.7
111,2.2812,58.25,1.1822,84.40,79.84,0.7844,-1.00,-1.0000,1.38e-03,7.51e-03,75.7
112,2.1688,56.33,1.2078,84.74,79.32,0.7719,-1.00,-1.0000,1.32e-03,7.14e-03,73.8
113,2.0588,56.78,1.2110,84.28,79.25,0.7836,-1.00,-1.0000,1.25e-03,6.78e-03,75.4
114,1.9512,58.33,1.1933,84.66,78.88,0.7791,-1.00,-1.0000,1.19e-03,6.42e-03,75.5
115,1.8460,58.41,1.1888,85.76,79.37,0.7742,-1.00,-1.0000,1.12e-03,6.08e-03,75.0
116,1.7434,57.85,1.1990,84.08,80.55,0.7828,-1.00,-1.0000,1.06e-03,5.74e-03,75.7
117,1.6433,57.59,1.2120,83.43,81.13,0.8005,-1.00,-1.0000,1.00e-03,5.41e-03,75.1
118,1.5458,57.41,1.2128,84.35,81.87,0.7967,-1.00,-1.0000,9.41e-04,5.09e-03,76.0
119,1.4510,57.37,1.1945,84.98,81.93,0.7953,-1.00,-1.0000,8.84e-04,4.77e-03,75.1
120,1.3589,57.84,1.2036,83.47,81.80,0.8015,76.80,0.8907,8.27e-04,4.47e-03,75.3
121,1.2695,56.74,1.2203,83.71,81.44,0.8045,-1.00,-1.0000,7.72e-04,4.18e-03,75.2
122,1.1828,57.91,1.2042,83.24,81.84,0.8147,-1.00,-1.0000,7.19e-04,3.89e-03,75.4
123,1.0990,57.31,1.2092,84.21,81.52,0.8193,-1.00,-1.0000,6.67e-04,3.62e-03,75.5
124,1.0180,56.30,1.2303,84.12,81.67,0.8149,-1.00,-1.0000,6.17e-04,3.35e-03,74.8
125,0.9399,56.18,1.2205,84.17,82.54,0.8306,-1.00,-1.0000,5.69e-04,3.09e-03,74.5
126,0.8647,56.24,1.2385,83.90,81.29,0.8384,-1.00,-1.0000,5.22e-04,2.84e-03,75.0
127,0.7925,54.56,1.2665,84.49,81.55,0.8446,-1.00,-1.0000,4.77e-04,2.61e-03,75.4
128,0.7233,56.77,1.2257,84.72,83.43,0.8418,-1.00,-1.0000,4.34e-04,2.38e-03,75.0
129,0.6570,55.91,1.2377,83.58,81.79,0.8486,-1.00,-1.0000,3.93e-04,2.16e-03,75.3
130,0.5938,55.32,1.2521,83.28,81.21,0.8617,77.02,0.9198,3.54e-04,1.95e-03,75.6
131,0.5337,55.10,1.2672,83.37,81.98,0.8693,-1.00,-1.0000,3.16e-04,1.76e-03,74.9
132,0.4767,55.42,1.2709,83.87,82.51,0.8744,-1.00,-1.0000,2.81e-04,1.57e-03,74.1
133,0.4227,55.15,1.2674,83.80,82.56,0.8800,-1.00,-1.0000,2.48e-04,1.39e-03,75.0
134,0.3720,55.07,1.2708,83.54,82.56,0.8898,-1.00,-1.0000,2.16e-04,1.22e-03,74.8
135,0.3244,54.97,1.2745,83.20,82.28,0.8947,-1.00,-1.0000,1.87e-04,1.07e-03,74.9
136,0.2800,53.61,1.2977,83.20,82.05,0.8995,-1.00,-1.0000,1.59e-04,9.21e-04,74.1
137,0.2388,55.05,1.3030,82.81,82.33,0.9002,-1.00,-1.0000,1.34e-04,7.85e-04,75.0
138,0.2008,54.75,1.2768,83.37,82.00,0.9047,-1.00,-1.0000,1.11e-04,6.61e-04,74.8
139,0.1661,53.77,1.3084,83.49,82.80,0.9098,-1.00,-1.0000,9.01e-05,5.46e-04,75.1
140,0.1346,54.10,1.3071,83.49,83.27,0.9102,76.20,0.9679,7.13e-05,4.43e-04,74.7
141,0.1064,52.86,1.3446,83.23,82.78,0.9135,-1.00,-1.0000,5.47e-05,3.50e-04,75.1
142,0.0815,53.88,1.3220,83.86,82.77,0.9130,-1.00,-1.0000,4.02e-05,2.68e-04,75.3
143,0.0599,53.51,1.3254,83.06,82.54,0.9131,-1.00,-1.0000,2.79e-05,1.97e-04,75.2
144,0.0416,53.54,1.3549,81.87,82.27,0.9134,-1.00,-1.0000,1.79e-05,1.37e-04,75.6
145,0.0267,52.87,1.3456,81.53,82.54,0.9124,-1.00,-1.0000,1.01e-05,8.77e-05,75.3
146,0.0150,53.36,1.3560,81.72,82.49,0.9084,-1.00,-1.0000,4.49e-06,4.93e-05,75.4
147,0.0067,53.23,1.3471,82.30,82.49,0.9061,-1.00,-1.0000,1.14e-06,2.19e-05,75.6
148,0.0017,52.41,1.3630,82.49,82.49,0.9038,-1.00,-1.0000,2.00e-08,5.48e-06,75.1
149,0.0000,51.90,1.3615,82.49,82.49,0.9037,76.46,0.9773,1.14e-06,0.00e+00,75.8
